Qp3ys04znW0,Стимулирование рождаемости — Ольга Исупова / ПостНаука,"ПостНаука,postnauka,лекция,наука","Социолог Ольга Исупова о мерах семейной политики, родительских сообществах, домашнем насилии

Читать расшифровку лекции здесь: https://postnauka.ru/video/155773 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

Семейная политика возникла в русле социальной политики как мера поддержки семьи. В современной России и модернизированном обществе вообще существует проблема: когда в семье появляются дети, она становится менее богатой — семейный доход теперь распределяется на большее количество людей. Какие существуют меры поддержки семьи и как идет борьба с домашним насилием?

Институт материнства: https://postnauka.ru/video/155765
Явление чайлдфри: https://postnauka.ru/longreads/75296

Ольга Исупова (https://postnauka.ru/themes/isupova) — PhD in Sociology, старший научный сотрудник Института демографии НИУ ВШЭ

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",6550,563,39
R0R862ET9Ug,Ядерное топливо / Физик Станислав Субботин в Рубке ПостНауки,"ПостНаука,postnauka,лекция,наука,станислав субботин,адель цебенко,ядерное топливо,урановая руда,аэс,атомные электростанции,радиоактивные отходы,переработка урановой руды,отработанное ядерное топливо,изучение урана,Уран-235,уран-238,производство урана,обогащение урана,твс,тепловыделяющие сборки,оят,захоронение ядерных отходов,замкнутый топливный цикл,ториевый топливный цикл,энергия атома","Как урановая руда превращается в топливо для АЭС и что делать с отходами этого превращения

Полный материал читайте здесь:  https://postnauka.ru/longreads/155662

Содержание
0:00:00 Начало
0:01:05 Сколько энергии в 1 грамме урана?
0:03:30 Что такое изотоп?
0:14:26 Как получаются цепные ядерные реакции?
0:20:50 Что происходит с ураном во время ядерной реакции?
0:29:51 Кк добывают уран?
0:38:22 Как обогащают уран?
0:57:48 Что делать с радиоактивными отходами?
1:10:05 Как возвращать радиоактивные отходы в топливный цикл?
1:23:08 Рекомендации
- Информационная база на сайте МАГАТЭ: https://www.iaea.org/

Ядерное топливо проходит долгий жизненный цикл: от добычи и переработки урановой руды до сжигания полезной составляющей топлива в реакторе и утилизации и переработки радиоактивных отходов. Как делают урановые «таблетки» для реакторов, что происходит с отработанным ядерным топливом и как подарить ему вторую жизнь, рассказывает физик Станислав Субботин.

Это материал из гида «Энергия атома» (https://postnauka.ru/guides/155672), приуроченного к 75-летию атомной промышленности. Партнер гида — «Росатом» (https://www.rosatom.ru/).

Станислав Субботин — кандидат технических наук, начальник отдела НИЦ «Курчатовский институт» https://postnauka.ru/themes/ssubbotin

Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",8764,620,31
SDPvApXUWGY,Копинг и психологическая защита — Екатерина Битюцкая / ПостНаука,"ПостНаука,postnauka,лекция,наука,Екатерина Битюцкая,екатерина битюцкая лекции,лекции битюцкая,екатерина битюцкая постнаука,копинг,Копинг и психологическая защита,что такое копинг,что такое психологическая защита,Ричард Лазарус,ригидность,что такое ригидность,стресс,психология,лекции по когнитивной психологии,когнитивная психология,лекции о стрессе","Психолог Екатерина Битюцкая о стратегиях совладания со стрессом, Ричарде Лазарусе и ригидности

Читать расшифровку лекции здесь: https://postnauka.ru/video/155345 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

Понятие совладающего поведения, или «копинг», стало широко использоваться в психологии с 1960-х годов в связи с исследованием способов поведения личности в стрессовых ситуациях. Копинг изучался в рамках теории стресса как механизм, направленный на преодоление стресса, а также в контексте теории адаптации как деятельность человека по сохранению баланса между требованиями среды и внутренними ресурсами. Как происходит процесс совладания с трудной жизненной ситуацией и чем копинг отличается от психологической защиты?

Стресс: хороший, плохой, злой: https://postnauka.ru/guides/155159
5 мифов о стрессе: https://postnauka.ru/faq/69178

Екатерина Битюцкая (https://postnauka.ru/author/bituckaia) — кандидат психологических наук, МГУ им. М. В. Ломоносова

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",8235,500,30
vYnwnuUqU6A,Как работают поисковики и рекомендательные сервисы / Станислав Протасов в Рубке ПостНауки,"постнаука,рубка постнауки,эфиры постнауки,ивар максутов,максутов постнаука,станислав протасов,рекомендательные сервисы,алгоритмы,поисковая система яндекса,архитектура поисковой системы,поисковые алгоритмы,ранжирование поиска,алгоритмы рекомендаций,машинное обучение","4 сентября в 18:00 по Москве в Рубке ПостНауки будем говорить о том, как человек влияет на поисковую выдачу, как устроены алгоритмы рекомендаций и как поисковая выдача влияет на человека. К нам в гости придет программист Станислав Протасов(https://postnauka.ru/themes/protasov), ведет эфир — издатель ПостНауки Ивар Максутов.

Поддержать ПостНауку — https://postnauka.ru/donate/

Станислав Протасов — кандидат физико-математических наук, преподаватель Факультета компьютерных наук НИУ ВШЭ
https://postnauka.ru/themes/protasov

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",10378,607,20
vdusJeH6EEE,Нейровизуализация — Александр Храмов / ПостНаука,"ПостНаука,postnauka,лекция,наука,александр храмов,храмов,лекции по нейронаукам,нейронауки,нейробиология,лекции по нейробиологии,мозг,изучения мозга,как заглянуть внутрь мозга,Нейровизуализация,как представить работу мозга,нейронные ансамбли,нейроны,как работают нейроны,как нарисовать работу мозга,Сантьяго Кахаль","Физик Александр Храмов о нейронных ансамблях, Сантьяго Кахале и магнитоэнцефалографии

Читать расшифровку лекции здесь: https://postnauka.ru//video/155696 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

В исследованиях головного мозга очень важно понять, как он активируется и как происходит работа различных его областей. Главный вопрос любого эксперимента в нейронауке заключается в том, как визуализировать активность головного мозга. 

Работа мозга при решении когнитивных задач: https://postnauka.ru/video/154952
Динамика нейронных ансамблей: https://postnauka.ru/video/154878

Александр Храмовя (https://postnauka.ru/themes/hramov) — доктор физико-математических наук, Университет Иннополис

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",6293,381,11
Z5XI1tvMvkg,Институт материнства — Ольга Исупова / ПостНаука,"ПостНаука,postnauka,лекция,наука,ольга исупова,ольга исупова лекции,социология семьи,лекции по социологии,лекции по психологии,институт материнства,материнство в средние века,как менялось восприятие материнства,что такое интенсивное материнство,интенсивное материнство,как воспитать ребенка,что значит быть матерью,феминизм,как общество давит на женщин","Социолог Ольга Юсупова об интенсивном материнстве, Жан Жаке Руссо и институте семьи  

Читать расшифровку лекции здесь: https://postnauka.ru/video/155765 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

В начале 1980-х годов вышла книга Адриенны Рич «Рожденная женщиной» с подзаголовком «Материнство как опыт и социальный институт». По мнению Рич, все плохое, что есть в материнстве, связано с тем, что общество жестко его регламентирует: какой именно матерью надо быть, сколько усилий в это вкладывать и, самое главное, матерью надо быть обязательно. Как трансформировался институт материнства на протяжении нескольких веков и к чему приводит интенсивное воспитание? 

Чайлдфри: https://postnauka.ru/longreads/75296
Репродуктивные технологии и родительство: https://postnauka.ru/video/49459

Ольга Исупова (https://postnauka.ru/themes/isupova) — PhD in Sociology, старший научный сотрудник Института демографии НИУ ВШЭ

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",9084,853,38
ENXXZCSe2Xg,Создание искусственных ощущений — Михаил Лебедев / ПостНаука,"ПостНаука,postnauka,лекция,наука,михаил лебедев,лебедев,михаил лебедев нейробиология,нейробиология,лекции по нейробиологии,нейроинженерия,как протезы передают ощущения?,кохлеарный имплантат,что такое кохлеарный имплантат,импланты для глухих,как работают слуховые аппараты,сенсорные интерфейсы,протез памяти,михаил лебедев постнаука","Нейроинженер Михаил Лебедев о сенсорных интерфейсах, кохлеарном имплантате и «протезах памяти»

Читать расшифровку лекции здесь: https://postnauka.ru/video/155766 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

Существует два класса нейроинтерфейсов. Первые записывают активность мозга и пытаются ее интерпретировать — считать мысли или моторные команды человека, чтобы он мог управлять устройствами. Интерфейсы второго класса направляют информацию, как правило сенсорную, в мозг, и именно они будут активно развиваться в ближайшие годы. Как с их помощью восстанавливаются тактильные ощущения и можно ли создать «протезы памяти»?

Когнитивная нейробиология: https://postnauka.ru/faq/95199
Кратковременная память: https://postnauka.ru/faq/95200

Михаил Лебедев (https://postnauka.ru/author/lebedevb_m) — Доктор философских наук, Научный руководитель Центра биоэлектрических интерфейсов ВШЭ, Старший научный сотрудник центра нейроинженерии Duke University Medical Center, Durham

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",4249,314,8
iu1jsy80axA,Комплексные числа — Алексей Савватеев / ПостНаука,"ПостНаука,postnauka,лекция,наука,савватеев,алексей савватеев,лекции савватеева,савватеев о математике,лекции по математике,савватеев постнаука,комплексные числа,что такое комплексные числа,для чего нужны комплексные числа,формула Кардано,Аль-Хорезми,что сделал аль хорезми,кубические уравнения,как решить уравнение с отрицательным корнем,алгебра,лекции по алгебре 10 класс,лекции по алгебре 11 класс","Математик Алексей Савватеев о квадратных уравнениях, аль-Хорезми и формуле Кардано 

Читать расшифровку лекции здесь: https://postnauka.ru/video/155767 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

Когда аль-Хорезми придумал, как решать уравнения вида ax^2+bx+c=0, за что все школьники мира должны быть ему благодарны, оказалось, что иногда уравнения корней не имеют. Как научиться решать любое квадратное уравнение и что такое комплексные числа? 

Гипотеза Пуанкаре: https://postnauka.ru/video/154834
Основные теоремы в теории игр: https://postnauka.ru/video/154843

Блог Алексея Савватеева: http://youtube.com/маткульт-привет

Алексей Савватеев (https://postnauka.ru/author/savvateev) — доктор физико-математических наук Университета Дмитрия Пожарского

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",33727,2563,163
IxJIf_mUEXc,Базовые операции архитектуры — Виктор Вахштайн / ПостНаука,"ПостНаука,postnauka,лекция,наука,виктор вахштайн,лекции виктор вахштайн,лекции вахштайна,вахштайн,архитектура,лекции по социологии,лекции по микросоциологии,социология архитектуры,теория фреймов,как лифт изменил структуру зданий,изобретение лифта,лифт,социология повседневности,экстерьер,интерьер","Социолог Виктор Вахштайн о «расцеплении» экстерьера и интерьера, изобретении лифта и планировке Манхэттена

Читать расшифровку лекции здесь: https://postnauka.ru/video/155268 Заведите личный кабинет на ПостНауке, чтобы сохранять избранные курсы, видеть историю пройденных вами материалов и получать персональные рекомендации — https://postnauka.ru/link/profile

В 1852 году относительно молодой на тот момент изобретатель Элиша Грейвс Отис получил работу в Нью-Йорке, где ему предстояло управлять фабрикой по изготовлению игрушек. Фабрика находилась в здании заброшенной мельницы, и, чтобы каким-то образом организовать там пространство, надо было поднять на верхние этажи тяжелое оборудование. Для этого Отис сконструировал подъемную платформу и все на нее погрузил. Как и следовало ожидать, платформа не выдержала и рухнула. 

Архитектурные фреймы: https://postnauka.ru//video/155264

Виктор Вахштайн (https://postnauka.ru/author/vakhshtain) — кандидат социологических наук, профессор, декан факультета социальных наук МВШСЭН, декан Философско-социологического факультета Института общественных наук РАНХиГС, главный редактор журнала «Социология власти»

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",10604,781,25
Wq7oKlW8Sbc,Вакцина от коронавируса / Николай Никитин в Рубке ПостНауки,"постнаука,рубка постнауки,эфиры постнауки,ивар максутов,максутов постнаука,николай никитин,вакцина от коронавируса,вирусология,вакцина от коронавируса в россии,вакцина от коронавируса побочные,вектор вакцина от коронавируса,клинические испытания вакцины,клинические испытания вакцины от коронавируса,лекарство от коронавируса","27 августа в 18:00 по Москве в Рубке ПостНауки будем говорить о том, как создают и испытывают вакцины. К нам в гости придет вирусолог Николай Никитин, проведут эфир издатель ПостНауки Ивар Максутов и исследователь Илья Гриднев.

Содержание:

0:00:00 Вакцина от коронавируса
0:03:05 Начало эфира
0:06:06 Что такое вакцина? И в чем ее приципиальное отличие от других видов лекарств?
0:26:40 Типы вакцин и подходов
0:40:35 Распределение вакцин по типам https://www.nature.com/articles/d41586-020-01221-y
0:54:07 Откуда берутся инфекции?
0:58:45 Какие есть этапы клинического испытания вакцин? https://www.nytimes.com/interactive/2020/science/coronavirus-vaccine-tracker.html
1:26:47 Антителозависимое усиление инфекции
1:36:46 Вопрос из конверта
1:47:22 Курильщики меньше болеют коронавирусом: правда или миф?
2:00:17 Какие прививки нужно делать?
2:13:22 Чем закончится коронакризис?
2:24:00 Рекомендации
— Курс лекции по вирусологии О. В. Карповой: https://teach-in.ru/course/virology

Поддержать ПостНауку — https://postnauka.ru/donate/

Больше лекций, интервью и статей о фундаментальной науке и ученых, которые ее создают, смотрите на сайте http://postnauka.ru/. ПостНаука — все, что вы хотели знать о науке, но не знали, у кого спросить.

Следите за нами в социальных сетях:
VK: https://vk.com/postnauka
FB: https://www.facebook.com/postnauka/
Twitter: https://twitter.com/postnauka
Одноклассники: https://ok.ru/postnauka
Telegram: https://tx.me/postnauka",14586,818,71
